obs_self_x,obs_self_y,obs_self_hp,obs_self_isDead,obs_self_hasSpike,obs_paranoia_charges,obs_recon_charges,obs_spike_state,obs_spike_isPlanted,obs_spike_relPlanted_x,obs_spike_relPlanted_y,obs_spike_isDropped,obs_spike_relDropped_x,obs_spike_relDropped_y,obs_agent0_relation,obs_agent0_rel_x,obs_agent0_rel_y,obs_agent0_hp,obs_agent0_isDead,obs_agent1_relation,obs_agent1_rel_x,obs_agent1_rel_y,obs_agent1_hp,obs_agent1_isDead,obs_agent2_relation,obs_agent2_rel_x,obs_agent2_rel_y,obs_agent2_hp,obs_agent2_isDead,obs_agent3_relation,obs_agent3_rel_x,obs_agent3_rel_y,obs_agent3_hp,obs_agent3_isDead,act_type,act_grid_x,act_grid_y,act_ability_target_x,act_ability_target_y
-0.5,-3.7455,1.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.9942,-5.7545,1.5,0.0,1.0,-2.0,-1.7589,1.5,0.0,-1.0,19.0,10.4911,1.5,0.0,1.0,3.7545,-5.7545,1.5,0.0,Stay,0,0,0,0
-0.5,-2.2516,1.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-11.999,-5.3871,1.5,0.0,1.0,0.0,-1.6927,1.5,0.0,-1.0,19.0,9.7592,1.5,0.0,1.0,0.2516,0.7507,1.5,0.0,Stay,0,0,0,0
-16.4954,0.5,1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,35.9954,8.0,1.5,0.0,-1.0,13.9954,-11.0,1.5,0.0,1.0,19.9954,5.0085,1.5,0.0,1.0,-2.0111,4.0,1.5,0.0,Stay,0,0,0,0
18.4935,2.5,1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-19.9935,-13.0,1.5,0.0,-1.0,-17.4826,1.9969,1.5,0.0,1.0,-35.9935,2.0079,1.5,0.0,1.0,-33.9935,-3.0,1.5,0.0,Stay,0,0,0,0
-15.5,8.5,1.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,13.0038,-17.0,1.5,0.0,-1.0,12.0,-17.0,1.5,0.0,1.0,32.0016,-6.0,1.5,0.0,-1.0,13.0,-18.0064,1.5,0.0,Move,-19,-5,0,0
-1.5028,-6.5,1.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.9934,-2.0,1.5,0.0,1.0,-1.9972,-2.0,1.5,0.0,-1.0,18.0044,9.0,1.5,0.0,1.0,-0.9972,-3.0064,1.5,0.0,Stay,0,0,0,0
18.5,9.0615,1.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-17.0,-18.5615,1.5,0.0,1.0,-34.0,-0.5615,1.5,0.0,1.0,-34.0,-1.5615,1.5,0.0,1.0,-18.0,1.4385,1.5,0.0,Move,19,10,0,0
19.495,8.5,1.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-20.995,-19.0,1.5,0.0,-1.0,-17.995,-5.9341,1.5,0.0,1.0,-36.995,-3.9921,1.5,0.0,1.0,-34.995,-9.0,1.5,0.0,Stay,0,0,0,0
-15.5,7.4675,1.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,34.0,-3.6127,1.5,0.0,-1.0,22.0229,-16.9675,1.5,0.0,1.0,0.0,1.0325,1.5,0.0,1.0,16.0,3.0325,1.5,0.0,Move,-16,-1,0,0
1.278,-9.278,1.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,15.2261,11.778,1.5,0.0,1.0,12.8384,-0.222,1.5,0.0,-1.0,-16.778,12.778,1.5,0.0,-1.0,-16.778,8.8509,1.5,0.0,Stay,0,0,0,0
7.5073,3.5,1.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-9.0073,-14.0,1.5,0.0,1.0,-1.0123,-3.0,1.5,0.0,-1.0,-25.0072,1.0079,1.5,0.0,-1.0,-23.0073,-4.0,1.5,0.0,Stay,0,0,0,0
0.5,-10.5,1.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,9.0043,9.0,1.5,0.0,1.0,-3.0,0.0,1.5,0.0,-1.0,2.6053,10.0,1.1,0.0,-1.0,-19.0,7.0038,1.5,0.0,Stay,0,0,0,0
-15.5,-0.4989,1.5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32.0,2.9989,0.0,1.0,-1.0,34.0,2.9989,-0.1,1.0,1.0,-3.0,-3.9967,1.5,0.0,1.0,20.9902,5.9989,1.5,0.0,Move,4,5,0,0
-3.5,-10.5,1.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,20.005,11.0,1.5,0.0,1.0,1.0,0.0,1.5,0.0,-1.0,4.997,11.0,-0.8,1.0,-1.0,-15.0,7.0011,1.5,0.0,Stay,0,0,0,0
-15.5,8.5,1.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,14.0,-19.0,1.5,0.0,-1.0,16.0,-15.2204,1.5,0.0,1.0,0.0,-3.9994,1.5,0.0,-1.0,13.0,-16.0,1.5,0.0,Move,-18,4,0,0
-2.5,-8.5,0.7,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,20.5,8.5,-1.0,20.9975,11.0,1.5,0.0,1.0,21.0,2.3067,0.0,1.0,-1.0,1.9922,7.0,1.5,0.0,-1.0,4.9945,7.0,-0.4,1.0,Stay,0,0,0,0
-3.5036,-1.5,1.5,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,21.5036,1.5,1.0,22.0011,4.0,1.5,0.0,-1.0,22.0036,-4.6934,0.0,1.0,1.0,5.9982,0.0,-0.4,1.0,1.0,18.9992,7.0,1.5,0.0,Stay,0,0,0,0
-15.5,4.5065,1.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32.0,-2.0065,1.5,0.0,-1.0,30.6696,-14.0065,1.5,0.0,1.0,0.0,-3.3775,1.5,0.0,1.0,17.9323,0.9935,1.5,0.0,Move,1,5,0,0
18.5,-4.4328,1.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-14.9272,9.9328,1.5,0.0,-1.0,-2.0,6.9328,1.5,0.0,1.0,-17.996,9.9328,1.5,0.0,1.0,-11.9264,-5.0672,1.5,0.0,Stay,0,0,0,0
19.5,8.5,1.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-8.0007,-18.0,1.5,0.0,-1.0,-20.0007,-13.0,1.5,0.0,1.0,-2.0,-6.0,1.5,0.0,-1.0,-18.0007,-10.0,1.5,0.0,Stay,0,0,0,0
0.5,10.5,1.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-2.0,-21.0,1.5,0.0,-1.0,0.0,-21.0,1.5,0.0,1.0,-16.0,-2.0,1.5,0.0,1.0,-16.0,-3.0,1.5,0.0,Move,2,-1,0,0
18.1651,10.5,1.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.6651,0.0,1.5,0.0,-1.0,0.3346,-19.9701,1.5,0.0,1.0,-33.6651,-10.9913,1.5,0.0,1.0,-36.6651,-6.9943,1.5,0.0,Stay,0,0,0,0
9.5,1.5068,1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,-2.0036,1.5,0.0,-1.0,-12.0,-12.0068,1.5,0.0,1.0,-28.0,-5.0029,1.5,0.0,1.0,8.0071,-6.0067,1.5,0.0,Move,5,0,0,0
-3.5,-10.5,1.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,22.99,13.0,1.5,0.0,1.0,1.0,0.0,1.5,0.0,-1.0,7.0,16.0085,1.5,0.0,-1.0,-15.0,7.0038,1.5,0.0,Stay,0,0,0,0
11.4926,3.5,1.5,0.0,0.0,0.0,1.0,3.0,1.0,6.5074,-1.5,0.0,0.0,0.0,1.0,5.0074,-1.0,0.0,1.0,-1.0,7.0074,-1.0,-0.1,1.0,1.0,-17.9363,-13.0,1.5,0.0,1.0,-8.0233,2.0,1.5,0.0,Stay,0,0,0,0
18.5,4.0718,1.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-21.0,-12.5719,1.5,0.0,1.0,-34.0,4.4282,1.5,0.0,1.0,-34.0,3.4282,1.5,0.0,1.0,-17.2525,6.4282,1.5,0.0,Stay,0,0,0,0
10.5,3.5069,1.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-12.9962,-12.0069,1.5,0.0,-1.0,-14.0,-12.0069,1.5,0.0,1.0,6.0016,-1.0069,1.5,0.0,-1.0,-13.0,-13.0133,1.5,0.0,Move,7,2,0,0
-18.5,-0.5077,1.1,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,-0.5,0.5077,-1.0,37.0,3.0077,1.5,0.0,1.0,0.0,1.6201,0.0,1.0,-1.0,0.0,5.0077,0.0,1.0,-1.0,0.0054,2.0077,1.5,0.0,Stay,0,0,0,0
